cpd_id	cpd_name	cpd_abbr	microbiome_related	KEGG	HMDB	class	pathway	super_pathway	sub_pathway
CAS006868-73-1	3,6-Diketocholanic Acid	3,6-Diketocholanic Acid				Bile acids			
CAS10325-79-8	Etienic Acid	Etienic Acid				Bile acids			
CAS1053-37-8	Lithocholenic Acid	Lithocholenic Acid				Bile acids			
CAS1499-46-3	Histidine methyl ester	Histidine methyl ester				Amino acids and Peptides			
CAS15173-54-3	Etianic Acid	Etianic Acid				Bile acids			
CAS23945-44-0	2,4-Dihydroxypyrimidine-5-carboxylic acid	2,4-Dihydroxypyrimidine-5-carboxylic acid				Pyrimidines and pyrimidine derivatives			
CAS24404-83-9	Glycolithocholic acid(GLCA)	Glycolithocholic acid(GLCA)							
CAS2812-32-0	N,N-Dimethyl-L-Valine	N,N-Dimethyl-L-Valine				Amino acids and Peptides			
CAS2955-27-3	Ursocholic Acid(UCA)	Ursocholic Acid(UCA)							
CAS4271-30-1	N-(4-Aminobenzoyl)-L-glutamic acid	N-(4-Aminobenzoyl)-L-glutamic acid			HMDB0255007	Amino acids and Peptides			
CAS4651-67-6	7-Ketolithocholic acid(7-keto-LCA)	7-Ketolithocholic acid(7-keto-LCA)							
CAS5143-55-5	12-Ketolithocholic Acid Acetate, Methyl Ester	12-Ketolithocholic Acid Acetate, Methyl Ester				Bile acids			
CAS547-75-1	Gamma Muricholic acid	Gamma Muricholic acid							
CAS60696-62-0	23-Norcholic Acid	23-Norcholic Acid				Bile acids			
CAS83-44-3	Choleic Acid	Choleic Acid		C04483	HMDB0000626	Bile acids			
CAS859-97-2	3,7-Diketocholanic Acid	3,7-Diketocholanic Acid				Bile acids			
HM4000001	12-Dehydrocholic Acid Diacetate	12-Dehydrocholic Acid Diacetate				Bile acids			
HM4000006	23-Norcholic Acid Diacetate	23-Norcholic Acid Diacetate				Bile acids			
HM4000007	23-Nordeoxycholic Acid Diacetate	23-Nordeoxycholic Acid Diacetate				Bile acids			
HM4000010	3,12-Diketocholanic Acid Methyl Ester	3,12-Diketocholanic Acid Methyl Ester				Bile acids			
HM4000017	7-Dehydrocholic Acid Methyl Ester	7-Dehydrocholic Acid Methyl Ester				Bile acids			
HM4000018	7-Ketolithocholic Acid Acetate Methyl Ester	7-Ketolithocholic Acid Acetate Methyl Ester				Bile acids			
HM4000024	Chenodeoxycholic Acid Methyl Ester	Chenodeoxycholic Acid Methyl Ester				Bile acids			
HM4000028	Dehydrolithocholic Acid Methyl Ester	Dehydrolithocholic Acid Methyl Ester				Bile acids			
HM4000032	Etiadienic Acid	Etiadienic Acid				Bile acids			
HM4000033	Etiadienic Acid 3-Acetate	Etiadienic Acid 3-Acetate				Bile acids			
HM4000035	Etiadienic Acid Methyl Ester	Etiadienic Acid Methyl Ester				Bile acids			
HM4000038	Etienic Acid Acetate	Etienic Acid Acetate				Bile acids			
HM4000043	Hyocholic Acid Methyl Ester	Hyocholic Acid Methyl Ester				Bile acids			
HM4000047	Lithocholic Acid Acetate	Lithocholic Acid Acetate				Bile acids			
HM4000048	Lithocholic Acid Acetate Methyl Ester	Lithocholic Acid Acetate Methyl Ester				Bile acids			
HM4000121	11, (5beta)-Cholenic acid-3alpha, 9alpha-epoxy methyl ester	11, (5beta)-Choleic acid-3alpha, 9alpha-epoxy methyl ester							
HM4000125	Alloisolithocholic Acid(AILCA)	Alloisolithocholic Acid(AILCA)							
HM4000131	Taurohyodeoxycholic Acid(THDCA)	Taurohyodeoxycholic Acid(THDCA)							
HM4000133	Glycochenodeoxycholic acid(GCDCA)	Glycochenodeoxycholic acid(GCDCA)							
HM4000136	Glycodeoxycholic acid(GDCA)	Glycodeoxycholic acid(GDCA)							
HM4000137	12-Dehydrocholic Acid Methyl Ester	12-Dehydrocholic Acid Methyl Ester							
HM4000141	Dehydrolithocholic acid (DHLCA)	Dehydrolithocholic acid (DHLCA)							
HM4000142	Tauro-zeta-muricholic acid	Tauro-zeta-muricholic acid							
HM4000144	alpha-Muricholic acid (alpha-MCA)	alpha-Muricholic acid (alpha-MCA)							
HM4000145	Tauro-alpha-Muricholic Acid(T-alpha-MCA)	Tauro-alpha-Muricholic Acid(T-alpha-MCA)							
HM4000146	beta-Muricholic Acid (beta-MCA)	beta-Muricholic Acid (beta-MCA)							
HM4000152	Apocholic Acid(APCA)	Apocholic Acid(APCA)							
HM4000153	23-Nordeoxycholic acid	23-Nordeoxycholic acid							
HMDB0000001	1-Methylhistidine	1-Methylhistidine		C01152	HMDB0000001	Amino acids and Peptides			
HMDB0000005	2-Ketobutyric acid	2-Ketobutyric acid		C00109	HMDB0000005	Organic acids	map00260 Glycine, serine and threonine metabolism; map00270 Cysteine and methionine metabolism; map00290 Valine, leucine and isoleucine biosynthesis; map00640 Propanoate metabolism; map00660 C5-Branched dibasic acid metabolism; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01210 2-Oxocarboxylic acid metabolism; map01230 Biosynthesis of amino acids	Amino acid metabolism	Glycine, serine and threonine metabolism
HMDB0000008	2-Hydroxybutyric acid	2-Hydroxybutyric acid	Y	C05984	HMDB0000008	Fatty acids	map00640 Propanoate metabolism	Carbohydrate metabolism	Propanoate metabolism
HMDB0000011	3-Hydroxybutyric acid	3-Hydroxybutyric acid		C01089	HMDB0000011	Organic acids	map00650 Butanoate metabolism; map01100 Metabolic pathways; map04024 cAMP signaling pathway	Carbohydrate metabolism	Butanoate metabolism
HMDB0000019	alpha-Ketoisovaleric acid	alpha-Ketoisovaleric acid	Y	C00141	HMDB0000019	Organic acids	map00280 Valine, leucine and isoleucine degradation; map00290 Valine, leucine and isoleucine biosynthesis; map00770 Pantothenate and CoA biosynthesis; map00966 Glucosinolate biosynthesis; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01210 2-Oxocarboxylic acid metabolism; map01230 Biosynthesis of amino acids; map01240 Biosynthesis of cofactors	Amino acid metabolism	Valine, leucine and isoleucine degradation
HMDB0000020	p-Hydroxyphenylacetic acid	p-Hydroxyphenylacetic acid	Y	C00642	HMDB0000020	Benzenoids	map00350 Tyrosine metabolism; map00360 Phenylalanine metabolism; map00946 Degradation of flavonoids; map01100 Metabolic pathways; map01120 Microbial metabolism in diverse environments; map01220 Degradation of aromatic compounds	Amino acid metabolism	Tyrosine metabolism
HMDB0000030	Biotin	Biotin		C00120	HMDB0000030	Biotin and derivatives	map00780 Biotin metabolism; map01100 Metabolic pathways; map01240 Biosynthesis of cofactors; map02010 ABC transporters; map04977 Vitamin digestion and absorption	Metabolism of cofactors and vitamins	Biotin metabolism
HMDB0000034	Adenine	Adenine		C00147	HMDB0000034	Imidazopyrimidines	map00230 Purine metabolism; map00908 Zeatin biosynthesis; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01232 Nucleotide metabolism	Nucleotide metabolism	Purine metabolism
HMDB0000039	Butyric acid	Butyric acid	Y	C00246	HMDB0000039	Fatty acids	map00650 Butanoate metabolism; map01100 Metabolic pathways; map04973 Carbohydrate digestion and absorption; map04974 Protein digestion and absorption	Carbohydrate metabolism	Butanoate metabolism
HMDB0000042	Acetic acid	Acetic acid	Y	C00033	HMDB0000042	Fatty acids	map00010 Glycolysis / Gluconeogenesis; map00430 Taurine and hypotaurine metabolism; map00440 Phosphonate and phosphinate metabolism; map00534 Glycosaminoglycan biosynthesis - heparan sulfate / heparin; map00620 Pyruvate metabolism; map00630 Glyoxylate and dicarboxylate metabolism; map00660 C5-Branched dibasic acid metabolism; map00680 Methane metabolism; map00720 Carbon fixation pathways in prokaryotes; map00908 Zeatin biosynthesis; map00920 Sulfur metabolism; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01200 Carbon metabolism; map01220 Degradation of aromatic compounds; map04725 Cholinergic synapse; map04936 Alcoholic liver disease; map04973 Carbohydrate digestion and absorption; map04974 Protein digestion and absorption	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
HMDB0000043	Betaine	Betaine	Y	C00719	HMDB0000043	Amino acids and Peptides			
HMDB0000044	Ascorbic acid	Ascorbic acid		C00072	HMDB0000044	Organoheterocyclic	map00053 Ascorbate and aldarate metabolism; map00480 Glutathione metabolism; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01240 Biosynthesis of cofactors; map02060 Phosphotransferase system (PTS); map04066 HIF-1 signaling pathway; map04977 Vitamin digestion and absorption	Carbohydrate metabolism	Ascorbate and aldarate metabolism
HMDB0000045	Adenosine monophosphate	Adenosine monophosphate		C00020	HMDB0000045	Nucleosides	map00230 Purine metabolism; map00908 Zeatin biosynthesis; map01060 Biosynthesis of plant secondary metabolites; map01065 Biosynthesis of alkaloids derived from histidine and purine; map01070 Biosynthesis of plant hormones; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01232 Nucleotide metabolism; map01240 Biosynthesis of cofactors; map01523 Antifolate resistance; map04022 cGMP-PKG signaling pathway; map04024 cAMP signaling pathway; map04068 FoxO signaling pathway; map04150 mTOR signaling pathway; map04151 PI3K-Akt signaling pathway; map04152 AMPK signaling pathway; map04211 Longevity regulating pathway; map04740 Olfactory transduction; map04742 Taste transduction; map04923 Regulation of lipolysis in adipocytes; map04924 Renin secretion; map04925 Aldosterone synthesis and secretion; map04927 Cortisol synthesis and secretion; map04928 Parathyroid hormone synthesis, secretion and action; map04934 Cushing syndrome; map05012 Parkinson disease; map05022 Pathways of neurodegeneration - multiple diseases; map05032 Morphine addiction	Nucleotide metabolism	Purine metabolism
HMDB0000055	Cellobiose	Cellobiose		C06422	HMDB0000055	Carbohydrates			
