cpd_id	cpd_name	Match	HMDB	PubChem	ChEBI	KEGG
cpd_001	(12 or 13)-methylmyristate (a15:0 or i15:0)					
cpd_002	(14 or 15)-methylpalmitate (a17:0 or i17:0)					
cpd_003	(15:0)-anacardic acid	2-Hydroxy-6-pentadecylbenzoic acid	HMDB0029683	167551	2696	C10759
cpd_004	(15:2)-anacardic acid	Acardic acid	HMDB0033896	11824131		
cpd_005	(16 or 17)-methylstearate (a19:0 or i19:0)					
cpd_006	(3'-5')-adenylyladenosine*					
cpd_007	(3'-5')-adenylylcytidine					
cpd_008	(3'-5')-adenylylguanosine*					
cpd_009	(3'-5')-adenylyluridine					
cpd_010	(3'-5')-cytidylylcytidine*					
cpd_011	(3'-5')-cytidylylguanosine					
cpd_012	(3'-5')-cytidylyluridine*					
cpd_013	(3'-5')-guanylyladenosine*					
cpd_014	(3'-5')-guanylylcytidine					
cpd_015	(3'-5')-guanylyluridine					
cpd_016	(3'-5')-uridylylcytidine*					
cpd_017	(3'-5')-uridylylguanosine					
cpd_018	(3'-5')-uridylyluridine					
cpd_019	(N(1) + N(8))-acetylspermidine					
cpd_020	(R)-3-hydroxybutyrylcarnitine	(R)-3-hydroxybutyrylcarnitine	HMDB0062735	90659885	84842	
cpd_021	(R)-salsolinol	(R)-Salsolinol	HMDB0005199	54456	123715	C09642
cpd_022	(S)-3-hydroxybutyrylcarnitine	3-Hydroxybutyrylcarnitine	HMDB0013127	53481617	72995	
cpd_023	(S)-a-amino-omega-caprolactam					
cpd_024	1,1-kestotetraose	Nystose	HMDB0039176	3707011		
cpd_025	1,2,3-benzenetriol sulfate (1)					
cpd_026	1,2,3-benzenetriol sulfate (2)					
cpd_027	1,2-dilinolenoyl-digalactosylglycerol (18:3/18:3)					
cpd_028	1,2-dilinolenoyl-galactosylglycerol (18:3/18:3)*					
cpd_029	1,2-dilinoleoyl-GPC (18:2/18:2)					
cpd_030	1,2-dilinoleoyl-GPE (18:2/18:2)*					
cpd_031	1,2-dipalmitoyl-GPC (16:0/16:0)					
cpd_032	1,3,7-trimethylurate	1,3,7-Trimethyluric acid	HMDB0002123	79437	691622	C16361
cpd_033	1,3-dimethylurate	1,3-Dimethyluric acid	HMDB0001857	70346	68447	
cpd_034	1,3-propanediol	Propane-1,3-diol	METPA0292		16109	C02457
cpd_035	1,5-anhydroglucitol (1,5-AG)					
cpd_036	1,6-anhydroglucose	Levoglucosan	HMDB0000640	2724705	30997	
cpd_037	1,7-dimethylurate	1,7-Dimethyluric acid	HMDB0011103	91611	68449	C16356
cpd_038	1-(1-enyl-oleoyl)-GPE (P-18:1)*					
cpd_039	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*	PC(P-16:0/20:4(5Z,8Z,11Z,14Z))	HMDB0011220	24779388	77292	
cpd_040	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*					
cpd_041	1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*	PC(P-16:0/18:2(9Z,12Z))	HMDB0011211	24779386	84557	
cpd_042	1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*					
cpd_043	1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*					
cpd_044	1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*					
cpd_045	1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*	PC(P-16:0/16:0)	HMDB0011206	11146967	133672	
cpd_046	1-(1-enyl-palmitoyl)-GPC (P-16:0)*					
cpd_047	1-(1-enyl-palmitoyl)-GPE (P-16:0)*					
cpd_048	1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*					
cpd_049	1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*					
cpd_050	1-(1-enyl-stearoyl)-GPE (P-18:0)*					
cpd_051	1-arachidonylglycerol (20:4)					
cpd_052	1-carboxyethylisoleucine	1-Carboxyethylisoleucine	HMDB0242158	146171344		
cpd_053	1-carboxyethylleucine	1-Carboxyethylleucine	HMDB0240626	53752255		
cpd_054	1-carboxyethylphenylalanine	1-Carboxyethylphenylalanine	HMDB0240628	127261991		
cpd_055	1-carboxyethyltyrosine	1-Carboxyethyltyrosine	HMDB0242159	146171371		
