cpd_id	cpd_name	Match	HMDB	PubChem	ChEBI	KEGG
cpd_001	1-methylguanine	1-Methylguanine	HMDB0003282	70315	21803	C04152
cpd_002	1-methylguanosine	1-Methylguanosine	HMDB0001563	96373	19062	C04545
cpd_003	1-methylhistamine	1-Methylhistamine	HMDB0000898	3614	29009	C05127
cpd_004	1-methylnicotinamide	1-Methylnicotimide	HMDB0000699	457	16797	C02918
cpd_005	21-deoxycortisol	21-Deoxycortisol	HMDB0004030	222803		C05497
cpd_006	2-aminoheptanoic acid	2-Aminoheptanoic acid	HMDB0242128	227939	64304	
cpd_007	2-deoxyadenosine	Deoxyadenosine	HMDB0000101	13730	17256	C00559
cpd_008	2-deoxycytidine	Deoxycytidine	HMDB0000014	13711	15698	C00881
cpd_009	2'-O-methyladenosine	2'-O-Methyladenosine	HMDB0004326	317398	119928	C04779
cpd_010	3-methylhistidine	Methylhistidine	HMDB0000479	64969	27596	C01152
cpd_011	3-methylxanthine	3-Methylxanthine	HMDB0001886	70639	62207	C16357
cpd_012	3'-O-methyladenosine	3'-O-Methyladenosine	HMDB0006023	82530		
cpd_013	4-aminophenol	4-Aminophenol	HMDB0001169	403	17602	C02372
cpd_014	4-guanidinobutanoic acid	4-Guanidinobutanoic acid	HMDB0003464	500	15728	C01035
cpd_015	4-hydroxy-3-methylacetophenone	4-Hydroxy-3-methylacetophenone	HMDB0059824	70135		
cpd_016	5-acetylamino-6-amino-3-methyluracil	5-Acetylamino-6-amino-3-methyluracil	HMDB0004400	88299		C16366
cpd_017	5-aminolevulinic acid	5-Aminolevulinic acid	HMDB0001149	137	17549	C00430
cpd_018	5-hydroxytryptophan	5-Hydroxy-L-tryptophan	HMDB0000472	439280	17780	C00643
cpd_019	7-methylguanine	7-Methylguanine	HMDB0000897	11361	28664	C02242
cpd_020	7-methylxanthine	7-Methylxanthine	HMDB0001991	68374	48991	C16353
cpd_021	8-hydroxy-deoxyguanosine	8-Hydroxy-deoxyguanosine	HMDB0003333	73318	40304	
cpd_022	acetaminophen	Acetaminophen	HMDB0001859	1983	46195	C06804
cpd_023	acetylcholine	Acetylcholine	HMDB0000895	187	15355	C01996
cpd_024	acetyl-galactosamine					
cpd_025	adenosine	Adenosine	HMDB0000050	60961	16335	C00212
cpd_026	ADMA/SDMA					
cpd_027	agmatine	Agmatine	HMDB0001432	199	17431	C00179
cpd_028	alanine	L-Alanine	HMDB0000161	5950	16977	C00041
cpd_029	alanylalanine	Alanylalanine	HMDB0028680	5484352	72816	C00993
cpd_030	alloisoleucine	Isoleucine	HMDB0000172	6306	17191	C00407
cpd_031	alpha-glycerophosphocholine					
cpd_032	alpha-hydroxymetoprolol	alpha-Hydroxymetoprolol	HMDB0060994	114962		
cpd_033	aminoisobutyric acid/GABA					
cpd_034	anserine	Anserine	HMDB0000194	112072	18323	C01262
cpd_035	arginine	L-Arginine	HMDB0000517	6322	16467	C00062
cpd_036	aspartate	L-Aspartic acid	HMDB0000191	5960	17053	C00049
cpd_037	atenolol	Atenolol	HMDB0001924	2249	2904	C13235
cpd_038	beta-alanine	beta-Alanine	HMDB0000056	239	16958	C00099
cpd_039	beta-guanidinopropionic acid	Guanidinopropionic acid	HMDB0013222	67701	15968	C03065
cpd_040	betaine	Betaine	HMDB0000043	247	41139	C00719
cpd_041	bilirubin	Bilirubin	HMDB0000054	5280352	16990	C00486
cpd_042	biliverdin	Biliverdin	HMDB0001008	5353439	17033	C00500
cpd_043	biotin	Biotin	HMDB0000030	171548	15956	C00120
cpd_044	butyrobetaine	4-Trimethylammoniobutanoic acid	HMDB0001161	725	16244	C01181
cpd_045	C10:2 carnitine					
cpd_046	C10 carnitine					
cpd_047	C12:1 carnitine					
cpd_048	C12 carnitine	Dodecanoylcarnitine	HMDB0002250	168381	77086	
cpd_049	C14:0 LPC					
cpd_050	C14:0 SM					
cpd_051	C14:1 carnitine					
cpd_052	C14:2 carnitine					
cpd_053	C14 carnitine	Tetradecanoylcarnitine	HMDB0005066	53477791	84634	
cpd_054	C16:0 LPC					
cpd_055	C16:0 LPE					
cpd_056	C16:0 SM					
cpd_057	C16:1 LPC					
cpd_058	C16:1 LPC plasmalogen					
cpd_059	C16 carnitine	Palmitoylcarnitine	HMDB0000222	11953816	17490	C02990
cpd_060	C16-OH carnitine					
cpd_061	C18:0 LPC					
cpd_062	C18:0 LPE-A					
cpd_063	C18:0 LPE-B					
cpd_064	C18:1 carnitine					
cpd_065	C18:1 LPC					
cpd_066	C18:1 LPC plasmalogen					
cpd_067	C18:1-OH carnitine					
cpd_068	C18:2 carnitine	Linoleyl carnitine	HMDB0006469	6450015	84098	
cpd_069	C18:2 LPC					
cpd_070	C18:3 LPC					
cpd_071	C18 carnitine					
cpd_072	C20:1 LPC					
cpd_073	C20:4 carnitine					
cpd_074	C20 carnitine					
cpd_075	C22:6 LPE					
cpd_076	C2 carnitine	L-Acetylcarnitine	HMDB0000201	7045767	57589	C02571
cpd_077	C36:2 PC					
