name	STL40001	STL50160	STL20014	STL10240	STL10562	STL50315	STL20316	STL11021	STL50425	STL40635	STL10896	STL40673	STL20497	STL20112	STL40455	STL10793	STL10956	STL20672	STL40720	STL50520	STL10191	STL20117	STL10877	STL40535	STL20481	STL40511	STL11080	STL40626	STL20539	STL40521	STL10860	STL40555	STL20522	STL40014	STL40593	STL20185	STL10458	STL11073	STL20276	STL10575	STL11057	STL11122	STL20136	STL40229	STL20378	STL40017	STL20644	STL20654	STL20630	STL40716	STL40691	STL20653	STL40701	STL20648	STL10603	STL20292	STL40244	STL10762	STL20184	STL11041	STL40554	STL40595	STL40066	STL40180	STL40437	STL40280	STL20461	STL40571	STL10915	STL40539	STL10884	STL11089	STL40487	STL40040	STL10705	STL10836	STL10590	STL10279	STL10263	STL20631	STL10811	STL11040	STL10126	STL10405	STL10177	STL10022	STL10180	STL40177	STL10037	STL10323	STL10504
cpd_001	47	276	2989	717	1533	1885	10741	2028	668	545	1009	4336	83	7402	37578	1504	4009	9130	3573	741	1019	451	4353	14212	342	671	232	760	953	185	163	181	449	612	163	1983	771	557	7243	4686	1376	4995	2166	1786	3748	3889	1876	8638	10325	4204	10891	3831	5620	1762	7144	3708	2406	46767	3750	4371	739	526	1344	3359	4524	29911	88385	3823	4958	1329	1219	25183	13592	2581	3308		608	2600	1352	1618	6108	2229	2895	6256	10361	5837	393	40	1016	4795	2590
cpd_002	45		2459		570	1593	9659	95	102	55	592	1443		7856	33056	779	4949	7342	2192	343	418	391	7478	12464	459	637	17	332	992			112	242	16	17	270	349	9	3909	3823	38	206	1272	2710	3113	2704		9247	3375	5661	9661	2002	3124	953	3354	2390	1635	43579	1364	1428	930	165		3239	3232	45207	160791	9156	2970		20	14249	12194	1150	274	110646	2	1037	371	644	6399	241	46	162	3026	3999	1	11	310	89	57
cpd_003	955746	1675329	746899		1097071	1220468	1996158		241876	536656	3403152	5156310	3592372	1413770	1206057	227138	2900621	2554043	2897088	2837634	1102805	5707997	734228	1479948	1954384	396580	81356	1444068	211050	98236	9204008	845310	3393154	6517197	1636592	642132	85357	139537	10493868	1244644	35577	84529	680473	286785	2036302	2149286	1128129	52969	356046	1085037	1243262	130257	1306365	1033236	213916	4270877	82857	2028958	772884	1105098	6983618	4164034	851613	1294415	47237	86167	2258194	2934837	2602964	9366123	286052	4645313	3441910	93025	66898	483079	92044	2813929	253212	138787	31905666	3522806	105282	91438	557910	43092	2857208	2156068	1326018	37147	
cpd_004	26410063	27979360	20373752	3395152	39218569	17655274	18366703	2317561	12119193	9904859	74585976	34716083	14583435	11972667	17273079	30401347	9712224	20599530	8832342	5192903	2817644	60618534	15184363	25454634	27241108	21441306	16175177	13747829	47972048	7599235	25001239	15593110	10613941	17686745	14796031	314068	22956969	7312804	11589273	21064871	6760343	24039585	30368999	16219680	28868209	21176775	5070770	13856427	3512270	8051976	13318205	16726988	33169676	22101224	13306192	25620103	16136268	12745574	40876675	594761	31853352	24962437	6862335	87668345	15165909	25235177	13026201	50265793	58244595	28653988	24845262	28772551	18485591	57386704	1634030	482414	17255254	13585601	4808583	18079550	29227059	11744138	36559720	536801	5841751	35401684	14684210	22123172	11964914	2343976	44473347
cpd_005	290533	172413	122203	811713	582682	216215	328271	24793	109014	84644	532727	344121	172734	377551	639518	605651	146864	279849	132622	70657	20769	1013666	114854	173479	357309	232656	195561	77493	1768520	129484	411934	299997	164993	240971	262732	43450	231576	229987	208478	490969	455503	246188	263730	197077	237203	338207	182368	594618	58603	434647	118541	171865	236376	217284	94893	378443	174120	287573	435500	604236	469422	301537	157772	3308572	168001	450170	253245	3235409	284799	101136	168830	166312	178793	2529223	255813	67335	129794	343785	164409	216622	370120	237573	448641	68961	101097	533868	145447	386760	818071	421922	1973973
cpd_006				983195	174290	48110		149133	14669		49201	58458	27147	17422		146666							21657			12360	138450	6675	24840		54585	24042		216728			11179	204699	8410	10745	362583	413643	53878				16396	6273			10701	8944	130851	16841	43860	13508		9993	67178	52824		24277		25893	74533	73062			2083	37941	350539	122121		52787	176262	82413	12365	54238	138070		28503		326008			90801			158637	490003	266879
cpd_007	430	605	338	44772	7385	3845	933	11351	5401	961	1970	867	534	344	1033	12005	701	205	179			1112	4695	376	793	694	14854	277	1429	165	2015	2027	233	32335	109	92	1963	11834	176	382	29891	26358	1086	994	440	211	83	1130	948	781	1474	1828	8670	2037	3918	520	546	1204	1748	10769	528	1897	684	952	6871	3292	154	1663	1107	3836	29762	6007	287	2091	22339	4133	2740	9146	14191	101	2183	1105	23072	1026	698	9624	349	251	8221	24769	20547
cpd_008	172177	247345	282030	84274	60398	123905	354249	32088	77376	405508	167496	180753	124358	88200	446979	124647	32032	52971	51259	38389	192065	161085	424269	129627	120838	225298	73887	103842	1081290	49723	61443	42576	85701	74103	199172	115047	184996	65352	253873	57867	28590	130612	279192	567361	67677	159199	58651	278994	119859	258540	148619	169895	76505	427221	121641	159200	148765	779636	101100	108976	119781	66620	87829	96531	66979	243102	247684	379776	227715	186288	53864	291338	263296	183547	628405	44025	27124	598374	137350	336054	442717	129763	49636	47544	665450	255379	98580	124044	64237	35217	78403
cpd_009	278	652	1889	58763	15081	15259	2916	53576	11761	2085	5019	1418	780	87	1272	20377	1723	4807	393	254	125	1722	13599	1667	2551	1480	36326	929	3238	479	12512	4621	257	78070	2133	545	2936	33166	462	553	73520	59655	1188	3085	793	315	703	2498	1896	1656	3856	4630	26385	4804	9583	1258	827	2485	2409	21495	166	3578	1224	864	13216	5323	718	4310	1281	9247	60508	8362	464	5341	30584	7403	5026	17339	28983	654	4519	3786	43389	4117	2175	20503	2196	799	21082	58963	44700
cpd_010	21459	21824	39762	3294	39053	183183	32664	2330	6656	7507	22154	26782	9872	24913	10343	763	649335	171930	126644	85343	6728	9126	3328	14089	10370	1186	54	18425	68087	44594	380	333	106976	36563	153845	623	26238	2546	74565	69184		1403	11902	3268	76618	110954	89821	2830	168	17433	18568	71388	25259	1023	170	99142	32654	83282	160	680	52643	68160	41855	37517	693	2174	53245	51732	39547	11257		54562	147385	6110	4956		28663	8885	1176	8469	65060	17307	215		1021	3036	57489	46527			
