name	IPA_D0_2	IPA_D0_3	IPA_D3_1	IPA_D3_3	IPA_D3_4	IPA_D7_2	IPA_D7_4	IPA_D7_5	pbs_D0_2	pbs_D0_3	pbs_D0_5	pbs_D3_1	pbs_D3_4	pbs_D7_4	pbs_D7_5
0610005C13Rik	14.177371	11.5763	22.390603	8.850022	30.753548	10.902252	7.153515	13.530006	15.000512	13.851638	17.731969	17.478554	7.622701	17.259585	17.966957
0610009B22Rik	12.736485	13.645329	8.867	9.030803	12.439991	16.877991	17.197975	14.862571	13.851013	16.543317	13.245465	9.300174	8.311851	17.114712	11.108607
0610009E02Rik	0.288064	0.611698	0.458513	0.307979	0.67514	0.646065	0.392717	0.615267	0.349528	0.857583	0.215204	0.589072	0.487302	0.883333	0.383391
0610009L18Rik	5.116807	6.320519	5.758189	4.485143	2.108457	1.161296	3.924569	4.076231	2.892831	3.684519	5.17381	5.622003	10.840434	4.455236	4.322411
0610010K14Rik	7.58737	5.942948	7.590152	4.686558	8.924832	8.916715	10.822291	11.86008	9.87311	7.408815	7.711631	10.078128	7.112708	5.924841	6.954129
0610030E20Rik	6.229946	5.618146	4.861377	3.95099	4.816791	5.675225	4.634421	6.252679	4.052185	5.364626	5.341775	4.272642	4.985315	4.66428	3.795302
0610038B21Rik	0.092616	0.09964	0.063635	0	0	0.093199	0.031313	0.028482	0.035592	0.024025	0.01337	0.079114	0.137151	0.106265	0
0610039K10Rik	0.460529	0.165167	0.189122	0.240616	0.467794	0.314919	0.384351	0.237792	0.217674	0.222643	0.117386	0.333076	0.283135	0.133798	0.302559
0610040B10Rik	0.949332	0.983808	0.410825	0.548082	0.437083	0.16948	0.275106	0.363978	1.090597	0.981781	0.746568	0.559994	0.246984	0.593282	2.078676
0610040F04Rik	2.315449	2.51412	3.976031	0.472927	3.88754	7.439451	10.147347	6.027376	4.210976	4.085576	3.14251	3.725596	1.257833	2.118581	2.590871
0610040J01Rik	20.977964	13.192037	13.802773	7.026278	20.156465	23.422918	15.854602	18.760414	18.410679	20.450293	19.608412	9.69049	3.988342	11.887851	12.646689
0610043K17Rik	0.267631	0.467404	0.24228	0	0.546276	0.773905	0.326665	0.482726	0.250046	0.455225	0.382207	0.630738	0	0.324584	0
1010001B22Rik	0.425571	0.348533	1.293019	0.915539	1.063919	0.2017	0.543238	0.477475	0.886821	1.156121	0.335388	0.804996	0.430249	1.239025	0.837957
1110002E22Rik	0.007921	0.035088	0.027961	0.02932	0.005473	0.011392	0.008866	0.018336	0.033351	0.025584	0.01864	0.036102	0.107019	0.01422	0.019256
1110002J07Rik	0.03331	0.040012	0.074375	0.053253	0.029935	0.152467	0.045326	0.045726	0.037231	0	0.075963	0.112524	0.074297	0.074586	0.064974
1110002L01Rik	1.078667	1.500899	1.267442	1.167417	0.686458	1.155812	0.806183	1.249737	2.26747	1.497627	0.873474	0.602688	1.126023	0.557535	0.452446
1110003F10Rik	0.391909	0.238291	0.23174	0.294202	0.158598	0.338368	0.329177	0.394479	0.162298	0.202702	0.243513	0.221713	0.204222	0.202033	0.002484
1110004F10Rik	24.152284	21.585581	24.091787	23.307193	22.249548	26.157331	25.027152	25.907906	22.471687	26.9549	21.681615	22.257562	26.226579	23.884029	27.739631
1110006O24Rik	1.101733	1.676469	1.076096	0.373878	1.423264	0.725466	0.974746	1.163125	0.916807	1.406668	1.137919	1.539639	0.970282	1.061884	1.487616
1110013H19Rik	1.065365	1.153239	0.668981	0.760137	1.616399	0.552826	1.136601	0.614037	0.712606	0.481579	1.547263	1.270557	1.026058	1.479931	0.983038
1110017D15Rik	0.311827	0.077059	0.201062	0.585348	0.070175	0.045992	0	0.064905	0.143952	0.341811	0.28529	0.487976	0.551445	0.717617	0.771248
1110018N20Rik	1.953371	1.654992	2.361976	4.042783	0.750737	0.315084	1.904473	1.033282	0.449316	0.590368	1.078486	2.790642	4.321907	1.33778	1.735006
1110019D14Rik	2.152363	1.763469	1.640455	0.862878	1.408438	1.341231	1.620682	1.692351	2.120468	2.104441	1.704417	1.036457	1.176694	1.682951	1.096264
1110020A21Rik	1.04947	1.739518	0.578952	0.521892	0.911203	0.771089	0.453521	0.73949	0.743409	0.564443	1.440408	0.927676	0.496782	1.745216	0.955206
1110025M09Rik	0.678564	0.759186	0.998727	0.526227	1.223559	0.512619	0.899751	1.331852	0.725112	1.14697	0.711807	1.800683	0.606103	2.498491	1.458909
1110028F11Rik	0.006598	0.132405	0.005497	0	0.071385	0	0.035996	0.226043	0.20178	0.143637	0.234016	0	0.078732	0.141034	0.067001
1110032F04Rik	0.069555	0.093413	0.220047	0.454981	0.080216	0.067901	0.070334	0.087786	0	0.041472	0.101112	0.107989	0.464427	0.169889	0.089254
1110035H17Rik	0.820666	1.219121	1.271023	0.420313	0.924106	0.347856	0.436421	0.571584	1.45364	1.362907	1.059437	1.047893	0.323126	1.370723	1.405557
1110038B12Rik	45.498242	46.868397	51.259442	19.226101	67.731391	58.092947	64.440256	64.554704	47.21528	50.089141	66.463638	43.701558	22.779957	64.171027	46.250361
1110038F14Rik	14.497829	12.170312	15.167896	12.646242	11.261654	12.100325	19.528043	14.910446	13.892602	14.114005	13.264569	19.667789	16.73045	13.342401	22.803945
1110046J04Rik	0.600287	0.592971	1.108948	1.591407	0.325268	0.442383	0.723403	0.418335	0.464611	0.665063	0.439356	0.675439	0.914699	0.726856	0.479145
1110059E24Rik	19.042079	15.339368	12.72875	9.240074	15.767327	29.386085	19.686167	20.376349	20.872673	22.355911	21.332266	9.389304	7.129294	18.884257	15.708681
