name	IPA_D0_2	IPA_D0_3	IPA_D3_1	IPA_D3_3	IPA_D3_4	IPA_D7_2	IPA_D7_4	IPA_D7_5	pbs_D0_2	pbs_D0_3	pbs_D0_5	pbs_D3_1	pbs_D3_4	pbs_D7_4	pbs_D7_5
0610005C13Rik	1544	1110	2389	852	2936	846	605	1540	1037	1192	1575	1505	830	1652	1097
0610009B22Rik	904	842	628	568	755	820	929	1157	617	948	775	532	524	1118	444
0610009E02Rik	37	48	45	21	42	37	26	74	24	58	18	40	54	55	17
0610009L18Rik	309	360	360	250	129	53	185	284	119	185	264	283	579	260	157
0610010K14Rik	448	308	430	247	440	340	491	734	366	340	376	490	361	325	227
0610030E20Rik	2338	1885	1855	1298	1577	1443	1371	2528	968	1633	1725	1368	1617	1668	796
0610038B21Rik	14	14	10	0	0	10	4	5	4	3	2	10	19	16	0
0610039K10Rik	39	13	17	19	34	18	25	22	13	16	9	23	22	11	15
0610040B10Rik	101	87	86	78	78	32	39	84	88	122	132	111	43	119	109
0610040F04Rik	113	114	201	20	162	247	375	327	133	162	124	151	60	100	82
0610040J01Rik	3606	1939	2390	1087	2951	2739	2107	3535	2009	2811	2807	1342	607	1913	1224
0610043K17Rik	9	22	13	0	18	26	9	24	9	20	17	27	0	10	0
1010001B22Rik	22	16	67	42	47	8	22	27	29	48	15	34	20	59	25
1110002E22Rik	7	26	24	23	4	7	6	18	18	18	14	25	81	12	10
1110002J07Rik	7	7	15	10	5	21	7	10	5	0	13	18	13	14	8
1110002L01Rik	241	324	314	204	122	178	128	343	362	255	163	78	246	108	59
1110003F10Rik	27	14	16	18	10	16	17	29	7	11	14	12	13	13	1
1110004F10Rik	3072	2394	3083	2647	2436	2295	2438	3649	1808	2782	2270	2296	2970	2806	2001
1110006O24Rik	75	99	73	23	83	34	51	87	39	77	64	84	59	67	57
1110013H19Rik	63	59	40	40	81	23	51	40	27	23	75	60	54	80	33
1110017D15Rik	20	7	16	26	6	4	0	6	9	14	22	36	34	46	29
1110018N20Rik	176	140	235	333	68	21	109	109	30	50	93	216	331	107	68
1110019D14Rik	339	248	235	120	204	148	202	282	198	277	236	141	171	246	93
1110020A21Rik	69	99	43	32	57	34	26	59	35	34	81	54	33	118	40
1110025M09Rik	51	50	75	35	78	27	52	109	34	69	44	109	41	172	62
1110028F11Rik	1	9	1	0	5	0	2	13	8	9	15	0	6	7	3
1110032F04Rik	16	19	50	91	16	11	13	22	0	8	19	20	93	36	12
1110035H17Rik	89	115	138	41	86	26	36	68	99	119	95	92	31	137	86
1110038B12Rik	4341	3958	4005	1973	5084	3559	4014	5823	2389	2987	4661	3449	2078	4765	2709
1110038F14Rik	1520	1111	1583	1163	1047	842	1607	1679	876	1127	1102	1698	1504	1275	1317
1110046J04Rik	57	50	103	109	25	21	47	34	21	50	36	52	70	56	22
1110059E24Rik	2529	1784	1697	1100	1798	2638	2053	2988	1737	2437	2383	1020	854	2361	1172
1110059G10Rik	558	624	612	466	502	516	651	927	373	562	573	638	485	823	476
1110065P20Rik	841	789	882	683	895	487	506	923	432	640	928	806	1007	685	510
1190001M18Rik	28	15	21	0	14	41	62	42	11	15	14	7	7	11	16
1190005I06Rik	178	192	259	98	108	44	91	152	58	73	91	99	249	147	94
1300002E11Rik	1138	829	1054	571	925	858	805	1301	674	910	980	546	680	951	525
1300014J16Rik	242	172	275	155	181	228	200	246	112	192	252	173	95	154	55
1500002C15Rik	259	236	255	271	233	115	212	294	119	108	236	289	286	197	116
1500002F19Rik	23	8	8	7	9	3	3	5	13	4	11	5	6	3	8
1500004A13Rik	807	817	746	1078	539	136	516	940	327	469	487	748	1310	670	406
1500009L16Rik	443	429	588	411	535	550	875	746	366	322	458	457	254	532	272
1500011B03Rik	624	610	725	767	523	413	546	639	295	368	570	647	789	778	508
1500015A07Rik	296	433	287	228	427	160	205	405	207	314	262	211	166	358	186
1500026H17Rik	17	26	58	50	20	19	36	21	39	31	31	38	43	37	16
1600012H06Rik	2121	1826	1784	1668	1693	2038	1488	2631	1148	1967	1679	1456	1611	2078	1059
1600014C10Rik	1320	1025	1153	1076	691	732	937	1572	543	671	803	940	1327	854	425
1600020E01Rik	1187	1427	1069	856	1055	541	1079	1437	739	1019	1455	1168	779	1444	643
1600023N17Rik	59	51	36	16	47	14	47	28	45	60	63	38	18	71	18
1700001G17Rik	21	42	21	13	14	4	11	32	19	7	7	34	15	40	15
1700001J03Rik	41	39	48	28	30	7	9	20	0	49	42	63	42	76	80
1700001K19Rik	24	8	36	29	22	5	21	23	0	11	18	32	43	19	24
1700001L05Rik	324	294	328	226	412	241	266	388	231	328	254	272	265	379	193
1700001O22Rik	210	130	219	95	191	121	182	207	134	209	104	271	110	60	93
1700003D09Rik	99	57	68	97	89	116	30	146	20	63	44	37	128	32	22
1700003E16Rik	130	95	138	75	113	89	142	193	86	176	150	98	144	115	29
1700003M07Rik	67	64	86	83	27	11	30	49	22	26	55	78	176	47	60
1700006J14Rik	65	49	22	29	34	4	20	36	20	37	48	12	16	85	20
1700007E05Rik	5	2	20	5	13	50	8	19	5	10	13	10	21	5	8
1700007J10Rik	34	36	24	24	7	6	11	18	2	17	12	29	49	16	11
1700007L15Rik	99	77	86	36	121	65	36	107	47	77	71	72	36	99	43
