group	category	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
D3	KEGG	mmu01212	Fatty acid metabolism	7/332	62/9575	0.112903226	3.256169841	3.377677359	0.005410087	0.095768286	0.085850009	20249/74205/74147/93747/113868/15107/231086	7
D3	KEGG	mmu00380	Tryptophan metabolism	6/332	52/9575	0.115384615	3.327734013	3.189755604	0.008823976	0.113976359	0.102172355	13195/74147/17161/93747/15107/229905	6
D3	KEGG	mmu04530	Tight junction	11/332	170/9575	0.064705882	1.866141035	2.159449002	0.034314922	0.275808649	0.247244426	22350/18260/72058/12740/58220/16456/74117/71908/434782/54420/18538	11
D3	KEGG	mmu03320	PPAR signaling pathway	7/332	89/9575	0.078651685	2.268343035	2.278239873	0.034521415	0.275808649	0.247244426	11520/20249/74205/18534/74147/113868/13167	7
D3	KEGG	mmu00650	Butanoate metabolism	3/332	27/9575	0.111111111	3.204484605	2.173912322	0.065418071	0.368720037	0.330533412	74147/93747/15107	3
D3	GO	GO0045216	cell-cell junction organization	13/674	235/28928	0.055319149	2.374291306	3.267130085	0.003669215	0.051729913	0.04299218	Ocln/Cdh17/Cldn4/Lsr/Cxadr/Dsg2/F11r/Cdh1/Cldn23/Cldn8/Pmp22/F2rl1/Ctnnb1	13
D3	GO	GO0042180	cellular ketone metabolic process	14/674	265/28928	0.052830189	2.267465427	3.201399795	0.003959911	0.053714879	0.044641864	Akr1c13/Tpi1/Eif6/Apoc2/Erlin1/Akr1c19/Akr1c12/Gpd2/Stard4/Cbr3/Hagh/Dbi/Rdh16/Kyat3	14
D3	GO	GO0042182	ketone catabolic process	3/674	16/28928	0.1875	8.047477745	4.355081758	0.005622518	0.065342776	0.054305685	Cbr3/Hagh/Kyat3	3
D3	GO	GO0045603	positive regulation of endothelial cell differentiation	2/674	11/28928	0.181818182	7.803614783	3.485789175	0.025935024	0.164242419	0.136500126	Btg1/Ctnnb1	2
D3	GO	GO0120192	tight junction assembly	7/674	97/28928	0.072164948	3.097311022	3.195659723	0.007621827	0.080923105	0.067254331	Ocln/Cldn4/Lsr/F11r/Cdh1/Cldn23/Cldn8	7
D7	KEGG	mmu03030	DNA replication	18/814	36/9575	0.5	5.881449631	8.943977794	9.36785E-11	5.15232E-09	4.04297E-09	327762/17219/17216/18974/17217/17218/106344/14156/18973/17220/17215/18971/18972/19075/18969/18968/68240/68209	18
D7	KEGG	mmu04110	Cell cycle	37/814	157/9575	0.23566879	2.772148234	6.824213464	7.09338E-09	1.37695E-07	1.08048E-07	12544/12545/320209/17219/17216/12236/12443/50883/13555/105988/17217/21781/76464/17218/17220/12567/12566/17215/67141/22137/12447/67052/67177/12235/20877/71988/27401/22059/71521/268697/18392/73699/12532/56150/77011/242705/72415	37
D7	KEGG	mmu04514	Cell adhesion molecules	36/814	181/9575	0.198895028	2.339582174	5.545815829	1.04385E-06	1.32489E-05	1.03963E-05	20345/12511/16414/15024/14991/15018/20737/15039/16408/15042/16421/12504/54167/270152/12481/14960/100043314/14961/12487/14969/19264/225825/12519/14998/110557/14999/18566/58235/16409/60363/14972/12738/14964/15015/15001/16401	36
D7	KEGG	mmu04064	NF-kappa B signaling pathway	22/814	107/9575	0.205607477	2.418540035	4.497658069	7.70175E-05	0.000686913	0.000539013	16818/12475/16176/16797/117149/12044/21926/22637/12045/20963/12229/240354/234779/16150/266632/17096/12047/230073/20303/18034/50930/16994	22
D7	KEGG	mmu04630	JAK-STAT signaling pathway	23/814	171/9575	0.134502924	1.582144345	2.341286183	0.018296919	0.079447148	0.062341303	12443/12986/16453/16185/15975/50931/16847/16186/60504/16161/20849/16156/20846/20852/16154/18707/18712/12984/15170/16878/16188/18413/21832	23
D7	GO	GO0050678	regulation of epithelial cell proliferation	42/1670	432/28928	0.097222222	1.68409847	3.545940803	0.000710996	0.003940543	0.00276579	Cxcr3/Ccnd1/Pla2g2a/Ift172/Mst1/Jaml/Nrarp/Fut1/B2m/Ccl5/Nme2/Tnf/Cdk4/Uhrf1/Notch1/Men1/Rreb1/Bcl11b/Iqgap3/Egr3/Ccl2/Adam17/Btk/Mta3/Npm1/Stat1/Xbp1/Runx2/Nlrc3/Bmp5/Stk4/Pik3cd/Runx3/C5ar1/Hmgb2/Cyba/Fut2/Sirt6/Nod2/Nme1/Sulf2/Itga4	42
D7	GO	GO0051403	stress-activated MAPK cascade	8/1670	53/28928	0.150943396	2.61466501	2.912207474	0.010571895	0.041121128	0.028862113	Il1b/Map2k6/Card9/Tnfrsf23/Il1a/Scimp/Nod2/Pbk	8
D7	GO	GO0072091	regulation of stem cell proliferation	11/1670	107/28928	0.102803738	1.780782361	2.002766411	0.04487245	0.13702826	0.096177447	Ptprc/Notch1/Men1/Ccne1/Runx2/Pim1/Trp53/Hmgb2/Sirt6/Irgm1/Thpo	11
D7	GO	GO0120192	tight junction assembly	10/1670	97/28928	0.103092784	1.785789246	1.918779346	0.053284328	0.155308061	0.10900768	Lsr/Tnf/Ephb2/Pkp2/Ect2/Ikbkb/Rps6/Cldn15/Cldn2/Actn4	10
D7	GO	GO0042181	ketone biosynthetic process	6/1670	52/28928	0.115384615	1.998710272	1.784167449	0.077899004	0.210323535	0.147621961	Bmp5/Pdss2/H6pd/Coq5/Sirt6/Stard3	6
